t,asks[0].price,asks[0].amount,asks[1].price,asks[1].amount,asks[2].price,asks[2].amount,asks[3].price,asks[3].amount,asks[4].price,asks[4].amount,asks[5].price,asks[5].amount,asks[6].price,asks[6].amount,asks[7].price,asks[7].amount,asks[8].price,asks[8].amount,asks[9].price,asks[9].amount,bids[0].price,bids[0].amount,bids[1].price,bids[1].amount,bids[2].price,bids[2].amount,bids[3].price,bids[3].amount,bids[4].price,bids[4].amount,bids[5].price,bids[5].amount,bids[6].price,bids[6].amount,bids[7].price,bids[7].amount,bids[8].price,bids[8].amount,bids[9].price,bids[9].amount
1569888000178,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362,200,8362.5,3000,8364.5,1150,8365,18860,8356.5,48990,8356,71120,8355.5,400,8355,2220,8354.5,4030,8354,4420,8353.5,3040,8353,12660,8352.5,39340,8352,32000
1569888000423,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,19060,8365.5,700,8356.5,48990,8356,71120,8355.5,400,8355,2220,8354.5,4030,8354,4420,8353.5,3040,8353,12660,8352.5,39340,8352,32000
1569888000439,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,19060,8365.5,700,8356.5,48990,8356,71520,8355,2220,8354.5,4030,8354,4420,8353.5,3040,8353,12660,8352.5,39340,8352,32000,8351.5,1500
1569888001507,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,19060,8365.5,700,8356.5,48990,8356,71520,8355,2220,8354.5,4030,8354,4420,8353.5,5540,8353,12660,8352.5,36840,8352,32000,8351.5,1500
1569888002135,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,19060,8365.5,700,8356.5,48990,8356,71520,8355,2220,8354.5,4030,8354,4420,8353.5,3040,8353,12660,8352.5,36840,8352,32000,8351.5,4000
1569888002527,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8356.5,48990,8356,71520,8355,2220,8354.5,4030,8354,4420,8353.5,3040,8353,12660,8352.5,36840,8352,32000,8351.5,4000
1569888003258,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8356.5,48990,8356,71520,8355,2220,8354.5,4030,8354,4420,8353.5,3040,8353,2660,8352.5,36840,8352,32000,8351.5,4000
1569888003259,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8356.5,48990,8356,71520,8355,2220,8354.5,4030,8354,4420,8353.5,13040,8353,2660,8352.5,36840,8352,32000,8351.5,4000
1569888003778,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8356.5,48990,8356,71520,8355.5,32000,8355,2220,8354.5,4030,8354,4420,8353.5,13040,8353,2660,8352.5,4840,8352,32000
1569888003785,8357,3000,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8356.5,48990,8356,71520,8355.5,32000,8355,2220,8354.5,4030,8354,36420,8353.5,13040,8353,2660,8352.5,4840,8351.5,4000
1569888003787,8357,1590,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8356.5,48990,8356,71520,8355.5,32000,8355,2220,8354.5,4030,8354,36420,8353.5,13040,8353,2660,8352.5,4840,8351.5,4000
1569888003808,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8366,3590,8356.5,48990,8356,71520,8355.5,32000,8355,2220,8354.5,4030,8354,36420,8353.5,13040,8353,2660,8352.5,4840,8351.5,4000
1569888003832,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8366,3590,8357,900,8356.5,48090,8356,71520,8355.5,32000,8355,2220,8354.5,4030,8354,36420,8353.5,13040,8353,2660,8352.5,4840
1569888003844,8357.5,250,8358.5,500,8359,3000,8361,20,8361.5,200,8362.5,3000,8364.5,1150,8365,9060,8365.5,700,8366,3590,8357,1210,8356.5,47780,8356,71520,8355.5,32000,8355,2220,8354.5,4030,8354,36420,8353.5,13040,8353,2660,8352.5,4840
