t,asks[0].price,asks[0].amount,asks[1].price,asks[1].amount,asks[2].price,asks[2].amount,asks[3].price,asks[3].amount,asks[4].price,asks[4].amount,asks[5].price,asks[5].amount,asks[6].price,asks[6].amount,asks[7].price,asks[7].amount,asks[8].price,asks[8].amount,asks[9].price,asks[9].amount,bids[0].price,bids[0].amount,bids[1].price,bids[1].amount,bids[2].price,bids[2].amount,bids[3].price,bids[3].amount,bids[4].price,bids[4].amount,bids[5].price,bids[5].amount,bids[6].price,bids[6].amount,bids[7].price,bids[7].amount,bids[8].price,bids[8].amount,bids[9].price,bids[9].amount
1569888000143,8304.5,7010,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,90,8300,71320,8299.5,310
1569888000285,8304.5,7010,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000307,8304.5,7010,8305,60,8305.5,1220,8306,80,8307,200,8307.5,11010,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000309,8304.5,7010,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000406,8304.5,7010,8305,60,8305.5,1220,8306,80,8307,8960,8307.5,11010,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000500,8304.5,7010,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000522,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185750,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000527,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,68260,8308.5,120000,8309,38400,8309.5,8400,8304,185010,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000531,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,38400,8309.5,8400,8304,185010,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000536,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,38400,8309.5,8400,8304,184130,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000554,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8400,8304,184130,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000612,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8400,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71320,8299.5,310
1569888000666,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8400,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71330,8299.5,310
1569888000668,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8380,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71330,8299.5,310
1569888000671,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,71330,8299.5,310
1569888000934,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,310
1569888001253,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20370,8308,65760,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001272,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,11010,8308,65760,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001289,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,11010,8308,2000,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001366,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,11010,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001369,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
